V_bias/mV,Current,Temperature
-5000,-1.403817e-13,800.0
-4900,-1.3961880000000003e-13,800.0
-4800,-1.4343340000000002e-13,800.0
-4700,-1.419074e-13,800.0
-4600,-1.4190760000000003e-13,800.0
-4500,-1.380931e-13,800.0
-4400,-1.4495920000000001e-13,800.0
-4300,-1.4343340000000002e-13,800.0
-4200,-1.3961870000000002e-13,800.0
-4100,-1.3733000000000003e-13,800.0
-4000,-1.5411480000000003e-13,800.0
-3900,-1.365671e-13,800.0
-3800,-1.2817480000000002e-13,800.0
-3700,-1.2130800000000002e-13,800.0
-3600,-1.251228e-13,800.0
-3500,-1.335153e-13,800.0
-3400,-1.327524e-13,800.0
-3300,-1.22834e-13,800.0
-3200,-1.3733000000000003e-13,800.0
-3100,-1.23597e-13,800.0
-3000,-1.0452314000000002e-13,800.0
-2900,-1.0376024000000001e-13,800.0
-2800,-1.0223436000000001e-13,800.0
-2700,-1.037602e-13,800.0
-2600,-9.079026000000001e-14,800.0
-2500,-9.613084000000002e-14,800.0
-2400,-1.0223436000000001e-13,800.0
-2300,-9.079026000000001e-14,800.0
-2200,-8.621262000000001e-14,800.0
-2100,-8.621262000000001e-14,800.0
-2000,-8.621262e-14,800.0
-1900,-9.384202000000001e-14,800.0
-1800,-8.850144e-14,800.0
-1700,-7.629440000000001e-14,800.0
-1600,-8.087204e-14,800.0
-1500,-8.392380000000001e-14,800.0
-1400,-8.316086e-14,800.0
-1300,-6.56132e-14,800.0
-1200,-7.324264e-14,800.0
-1100,-6.179848e-14,800.0
-1000,-6.027260000000002e-14,800.0
-900,-5.798374e-14,800.0
-800,-4.8065419999999995e-14,800.0
-700,-4.501366e-14,800.0
-600,-4.57766e-14,800.0
-500,-4.501366e-14,800.0
-400,-4.57766e-14,800.0
-300,-3.204365e-14,800.0
-200,-4.043602e-14,800.0
-100,-3.356955e-14,800.0
0,4.425072e-14,800.0
100,4.1961900000000004e-14,800.0
200,4.272484e-14,800.0
300,4.1961900000000004e-14,800.0
400,6.027258e-14,800.0
500,7.171676e-14,800.0
600,8.621262000000001e-14,800.0
700,8.468674000000001e-14,800.0
800,9.841966000000001e-14,800.0
900,8.087204e-14,800.0
1000,9.460496e-14,800.0
1100,9.53679e-14,800.0
1200,1.136783e-13,800.0
1300,1.1291552000000001e-13,800.0
1400,1.190191e-13,800.0
1500,1.266488e-13,800.0
1600,1.365671e-13,800.0
1700,1.3961880000000003e-13,800.0
1800,1.5030000000000003e-13,800.0
1900,1.525889e-13,800.0
2000,1.602183e-13,800.0
2100,1.6937360000000002e-13,800.0
2200,1.8615800000000002e-13,800.0
2300,1.9149860000000002e-13,800.0
2400,1.8768390000000002e-13,800.0
2500,1.9836510000000002e-13,800.0
2600,1.945506e-13,800.0
2700,2.0218e-13,800.0
2800,2.059948e-13,800.0
2900,2.1514979999999998e-13,800.0
3000,2.2430500000000002e-13,800.0
3100,2.2735690000000003e-13,800.0
3200,2.304086e-13,800.0
3300,2.403271e-13,800.0
3400,2.2888280000000003e-13,800.0
3500,2.45668e-13,800.0
3600,2.5558639999999997e-13,800.0
3700,2.571122e-13,800.0
3800,2.6092699999999996e-13,800.0
3900,2.7160840000000003e-13,800.0
4000,2.6168999999999997e-13,800.0
4100,2.784747e-13,800.0
4200,2.86867e-13,800.0
4300,2.830522e-13,800.0
4400,3.089925e-13,800.0
4500,3.1280700000000004e-13,800.0
4600,3.082295e-13,800.0
4700,3.1356990000000004e-13,800.0
4800,3.1814750000000003e-13,800.0
4900,3.1662150000000003e-13,800.0
5000,3.3264350000000004e-13,800.0
-5000,-3.1738460000000004e-13,850.0
-4900,-3.2043630000000003e-13,850.0
-4800,-3.1204410000000005e-13,850.0
-4700,-3.1204410000000005e-13,850.0
-4600,-3.097554e-13,850.0
-4500,-3.1051820000000005e-13,850.0
-4400,-3.005999e-13,850.0
